county,Bedford,Buckinghamshire,Cambridgeshire,Central Bedfordshire,Cheshire West and Chester,County of Herefordshire,Doncaster,Dorset,East Riding of Yorkshire,East Sussex,Essex,Gloucestershire,Greater London Authority,Hampshire,Hertfordshire,Isle of Wight,Kent,Leeds,Leicestershire,Lincolnshire,Medway,Milton Keynes,Monmouthshire,Norfolk,North Lincolnshire,North Yorkshire,Northamptonshire,Nottinghamshire,Oxfordshire,Pembrokeshire,Powys,Shropshire,Somerset,Staffordshire,Suffolk,Surrey,Wakefield,Warwickshire,West Berkshire,West Sussex,Wiltshire,Windsor and Maidenhead,Worcestershire,Wrexham,York
Bedford,nan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Buckinghamshire,1,nan,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
Cambridgeshire,1,2,nan,1,1,1,2,1,3,3,3,3,2,3,3,3,2,1,3,3,2,2,1,3,2,3,2,2,3,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
Central Bedfordshire,1,2,1,nan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cheshire West and Chester,1,1,1,1,nan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
County of Herefordshire,1,1,1,1,1,nan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Doncaster,1,2,2,1,1,1,nan,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
Dorset,1,1,1,1,1,1,1,nan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
East Riding of Yorkshire,1,2,3,1,1,1,2,1,nan,3,3,3,2,3,3,3,3,1,3,4,2,2,1,4,2,4,2,2,3,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
East Sussex,1,2,3,1,1,1,2,1,3,nan,3,3,2,4,4,3,2,1,3,3,2,2,1,3,2,3,2,3,4,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
Essex,1,2,3,1,1,1,2,1,3,3,nan,3,2,3,3,3,2,1,3,3,2,2,1,3,2,3,2,2,3,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
Gloucestershire,1,2,3,1,1,1,2,1,3,3,3,nan,2,3,3,3,2,1,3,3,2,2,1,3,2,3,2,2,3,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
Greater London Authority,1,2,2,1,1,1,2,1,2,2,2,2,nan,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
Hampshire,1,2,3,1,1,1,2,1,3,4,3,3,2,nan,4,3,2,1,3,3,2,2,1,3,2,3,2,3,4,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
Hertfordshire,1,2,3,1,1,1,2,1,3,4,3,3,2,4,nan,3,2,1,3,3,2,2,1,3,2,3,2,3,4,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
Isle of Wight,1,2,3,1,1,1,2,1,3,3,3,3,2,3,3,nan,2,1,3,3,2,2,1,3,2,3,2,2,3,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
Kent,1,2,2,1,1,1,2,1,3,2,2,2,2,2,2,2,nan,1,2,4,2,2,1,4,2,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
Leeds,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,nan,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leicestershire,1,2,3,1,1,1,2,1,3,3,3,3,2,3,3,3,2,1,nan,3,2,2,1,3,2,3,2,2,3,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
Lincolnshire,1,2,3,1,1,1,2,1,4,3,3,3,2,3,3,3,4,1,3,nan,2,2,1,5,2,4,2,2,3,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
Medway,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,nan,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
Milton Keynes,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,nan,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
Monmouthshire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,nan,1,1,1,1,1,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Norfolk,1,2,3,1,1,1,2,1,4,3,3,3,2,3,3,3,4,1,3,5,2,2,1,nan,2,4,2,2,3,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
North Lincolnshire,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,nan,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
North Yorkshire,1,2,3,1,1,1,2,1,4,3,3,3,2,3,3,3,3,1,3,4,2,2,1,4,2,nan,2,2,3,0,2,2,2,2,3,3,2,2,2,3,2,2,2,1,3
Northamptonshire,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,nan,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
Nottinghamshire,1,2,2,1,1,1,2,1,2,3,2,2,2,3,3,2,2,1,2,2,2,2,1,2,2,2,2,nan,3,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
Oxfordshire,1,2,3,1,1,1,2,1,3,4,3,3,2,4,4,3,2,1,3,3,2,2,2,3,2,3,2,3,nan,0,2,2,2,2,3,3,2,3,2,3,2,2,2,1,3
Pembrokeshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powys,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,nan,2,2,2,2,2,2,2,2,2,2,2,1,1,2
Shropshire,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,nan,2,2,2,2,2,2,2,2,2,2,1,1,2
Somerset,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,nan,2,2,2,2,2,2,2,2,2,1,1,2
Staffordshire,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,nan,2,2,2,2,2,2,2,2,1,1,2
Suffolk,1,2,3,1,1,1,2,1,3,3,3,3,2,3,3,3,2,1,3,3,2,2,1,3,2,3,2,2,3,0,2,2,2,2,nan,3,2,2,2,3,2,2,2,1,3
Surrey,1,2,3,1,1,1,2,1,3,3,3,3,2,3,3,3,2,1,3,3,2,2,1,3,2,3,2,2,3,0,2,2,2,2,3,nan,2,2,2,3,2,2,2,1,3
Wakefield,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,nan,2,2,2,2,2,1,1,2
Warwickshire,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,0,2,2,2,2,2,2,2,nan,2,2,2,2,1,1,2
West Berkshire,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,nan,2,2,2,1,1,2
West Sussex,1,2,3,1,1,1,2,1,3,3,3,3,2,3,3,3,2,1,3,3,2,2,1,3,2,3,2,2,3,0,2,2,2,2,3,3,2,2,2,nan,2,2,2,1,3
Wiltshire,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,nan,2,1,1,2
Windsor and Maidenhead,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,nan,1,1,2
Worcestershire,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2,0,1,1,1,1,2,2,1,1,1,2,1,1,nan,1,2
