county,Bedford,Buckinghamshire,Cambridgeshire,Central Bedfordshire,Cheshire West and Chester,Cornwall,Cumbria,Doncaster,Dorset,East Riding of Yorkshire,East Sussex,Essex,Gloucestershire,Greater London Authority,Hampshire,Hertfordshire,Isle of Wight,Kent,Leeds,Leicestershire,Lincolnshire,Medway,Milton Keynes,Norfolk,North Lincolnshire,North Yorkshire,Northamptonshire,Nottinghamshire,Oxfordshire,Shropshire,Staffordshire,Stockton-on-Tees,Suffolk,Surrey,Wakefield,Warwickshire,West Berkshire,West Sussex,Wiltshire,Wokingham,Worcestershire,Wrexham,York
Bedford,nan,4,4,1,2,1,1,3,4,3,4,6,3,2,5,7,4,5,1,4,5,3,3,5,3,3,5,5,6,1,1,1,6,3,1,3,1,3,6,3,1,3,1
Buckinghamshire,4,nan,3,1,2,1,3,4,5,4,3,5,1,2,6,5,4,4,2,3,8,3,2,4,6,4,3,6,7,1,1,3,4,3,4,3,1,3,3,2,2,3,3
Cambridgeshire,4,3,nan,1,2,1,1,1,4,1,5,4,2,3,6,6,5,5,1,4,4,2,3,4,4,1,4,4,5,1,1,1,5,3,1,3,1,3,4,3,1,3,1
Central Bedfordshire,1,1,1,nan,1,1,1,1,1,1,1,2,1,1,3,3,2,2,1,3,3,2,1,1,2,1,1,2,1,1,3,1,3,2,1,1,1,2,3,1,1,1,1
Cheshire West and Chester,2,2,2,1,nan,1,1,1,3,1,3,3,2,2,3,3,3,2,1,3,3,1,2,2,2,2,3,2,3,1,1,1,3,2,1,3,1,2,3,2,1,2,1
Cornwall,1,1,1,1,1,nan,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cumbria,1,3,1,1,1,1,nan,3,1,3,1,1,1,1,2,2,2,1,2,1,4,1,1,1,3,3,1,3,3,1,1,3,1,1,3,1,1,1,1,1,2,1,3
Doncaster,3,4,1,1,1,1,3,nan,1,8,1,1,1,1,2,4,3,1,3,1,6,1,1,1,5,8,1,5,4,1,1,3,1,1,5,1,1,1,1,1,3,1,4
Dorset,4,5,4,1,3,1,1,1,nan,1,5,5,2,2,7,6,5,4,1,4,5,3,2,3,4,2,3,3,6,1,1,1,6,3,1,4,1,3,5,2,1,3,1
East Riding of Yorkshire,3,4,1,1,1,1,3,8,1,nan,1,1,1,1,2,4,3,2,3,2,9,1,1,2,5,14,1,5,4,2,1,4,1,1,7,1,2,1,1,1,3,1,5
East Sussex,4,3,5,1,3,1,1,1,5,1,nan,5,3,3,7,6,8,5,1,6,7,2,3,5,3,2,5,4,5,1,1,1,5,4,1,5,1,3,7,3,1,3,1
Essex,6,5,4,2,3,1,1,1,5,1,5,nan,4,2,9,7,6,5,1,6,9,3,3,5,3,2,5,6,6,1,2,1,8,4,1,4,1,4,7,3,1,3,1
Gloucestershire,3,1,2,1,2,1,1,1,2,1,3,4,nan,1,3,3,3,3,1,3,5,1,2,2,1,3,3,3,3,1,1,1,4,1,1,2,1,1,5,2,1,1,1
Greater London Authority,2,2,3,1,2,1,1,1,2,1,3,2,1,nan,3,3,3,3,1,3,2,1,2,2,2,1,2,2,3,1,1,1,2,2,1,3,1,2,2,2,1,2,1
Hampshire,5,6,6,3,3,1,2,2,7,2,7,9,3,3,nan,11,10,6,2,7,11,4,3,5,6,3,4,7,8,1,3,2,9,4,2,5,1,4,8,3,2,3,2
Hertfordshire,7,5,6,3,3,1,2,4,6,4,6,7,3,3,11,nan,9,6,3,7,9,4,3,5,6,5,4,7,9,1,3,2,9,4,3,5,1,4,8,3,3,3,3
Isle of Wight,4,4,5,2,3,1,2,3,5,3,8,6,3,3,10,9,nan,5,3,7,9,2,3,4,4,4,5,8,6,1,2,2,6,4,3,5,1,4,8,3,3,3,3
Kent,5,4,5,2,2,1,1,1,4,2,5,5,3,3,6,6,5,nan,1,7,8,3,3,5,4,2,5,5,5,2,2,1,6,3,1,3,2,3,6,3,1,3,1
