county,Bedford,Buckinghamshire,Cambridgeshire,Carmarthenshire,Cheshire East,Cornwall,County Durham,Cumbria,Derbyshire,Doncaster,Dorset,East Riding of Yorkshire,East Sussex,Essex,Gloucestershire,Greater London Authority,Hampshire,Hertfordshire,Isle of Wight,Kent,Lancashire,Leicestershire,Lincolnshire,Milton Keynes,Norfolk,North East Lincolnshire,North Lincolnshire,North Yorkshire,Northamptonshire,Nottinghamshire,Oxfordshire,Shropshire,Somerset,Staffordshire,Suffolk,Surrey,Wakefield,Warwickshire,West Berkshire,West Sussex,Wiltshire,Worcestershire,York,the Vale of Glamorgan
Bedford,nan,2,1,2,3,1,1,2,1,0,1,2,2,2,2,2,3,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,0,2,3,2,0,1
Buckinghamshire,2,nan,1,2,2,1,1,2,0,0,1,2,2,2,2,2,3,2,3,3,1,3,3,1,3,1,1,1,2,2,3,2,2,2,3,2,1,2,0,2,3,3,0,1
Cambridgeshire,1,1,nan,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,0,1
Carmarthenshire,2,2,1,nan,2,1,1,2,0,0,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,0,2,2,2,0,1
Cheshire East,3,2,1,2,nan,1,1,2,2,1,1,3,2,2,2,2,4,2,3,3,1,3,1,1,3,1,1,2,3,2,2,2,2,2,2,3,1,3,0,2,4,2,0,1
Cornwall,1,1,1,1,1,nan,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
County Durham,1,1,1,1,1,1,nan,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
Cumbria,2,2,1,2,2,1,1,nan,0,0,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,0,2,2,2,0,1
Derbyshire,1,0,0,0,2,0,0,0,nan,1,0,1,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
Doncaster,0,0,0,0,1,0,0,0,1,nan,0,1,0,0,0,0,1,0,1,1,0,2,1,0,2,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Dorset,1,1,1,1,1,1,1,1,0,0,nan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1
