Attribute	Norfolk	Hertfordshire	Buckinghamshire	Oxfordshire	Isle of Wight	Hampshire	North Yorkshire	Leicestershire	Lincolnshire	West Sussex	Wiltshire	West Berkshire	East Riding of Yorkshire	Surrey	Suffolk	Cornwall	Somerset	Greater London Authority	Dorset	Kent	East Sussex	Warwickshire	Worcestershire	North East Lincolnshire	Nottinghamshire	Carmarthenshire	County Durham	Doncaster	North Lincolnshire	Bedford	Cumbria	Northamptonshire	Shropshire	York	Cheshire East	Wakefield	Gloucestershire	Essex	Staffordshire	Milton Keynes	the Vale of Glamorgan	Cambridgeshire
York	-0.052723182	-0.023032672	-0.040151973	-0.057344764	3.83E-04	-0.02273505	0.192742125	0.152614466	-0.088236354	-0.043439664	0.047401635	-0.016260521	0.134955242	0.037751136	-0.025948652	-0.016260521	-0.016260521	-0.032678023	-0.028254463	-0.012151371	-0.032678023	-0.032678023	-0.028254463	-0.016260521	-0.032678023	-0.016260521	-0.016260521	0.127639391	-0.028254463	-0.023032672	-0.016260521	-0.028254463	-0.028254463	-0.016260521	0.127639391	-0.023032672	-0.016260521	-0.028254463	-0.016260521	-0.016260521	-0.016260521	-0.016260521
Huntingdon	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Cambridge	-0.018370852	0.705976314	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Ipswich	0.03377023	-0.011174754	0.32034632	-0.027821941	-0.029006057	-0.035421427	-0.027821941	-0.025314157	-0.042809603	-0.021075607	-0.019480519	-0.007889112	-0.019480519	-0.021075607	0.154107603	-0.007889112	-0.007889112	-0.015854386	-0.013708208	-0.032340902	-0.015854386	-0.015854386	-0.013708208	-0.007889112	-0.015854386	-0.007889112	-0.007889112	-0.011174754	-0.013708208	-0.011174754	-0.007889112	-0.013708208	-0.013708208	-0.007889112	-0.011174754	-0.011174754	-0.007889112	-0.013708208	-0.007889112	-0.007889112	-0.007889112	-0.007889112
London	-0.032359921	0.057898748	-0.013896526	0.103151761	0.012188786	-0.06373009	-0.101846042	-0.092665957	-0.156710443	-0.023908072	-0.013896526	-0.028879179	-0.013896526	0.135818196	0.027676983	-0.028879179	0.110629469	0.012053872	-0.050180783	-0.046899989	0.082144904	0.082144904	0.111427073	-0.028879179	-0.05803716	0.110629469	-0.028879179	-0.040906724	-0.050180783	0.057898748	-0.028879179	0.030623145	0.030623145	-0.028879179	0.057898748	-0.040906724	-0.028879179	0.111427073	0.110629469	-0.028879179	-0.028879179	-0.028879179
Winchester	-0.06478711	-0.015959705	0.093512634	-0.039735099	0.041957352	0.088751988	-0.039735099	-0.036153501	-0.001887049	-0.030100034	0.093512634	-0.011267174	-0.027821941	-0.030100034	-0.051991038	-0.011267174	-0.011267174	-0.022643122	-0.019577967	0.029349291	-0.022643122	-0.022643122	-0.019577967	-0.011267174	-0.022643122	-0.011267174	-0.011267174	-0.015959705	-0.019577967	-0.015959705	-0.011267174	-0.019577967	-0.019577967	-0.011267174	-0.015959705	-0.015959705	-0.011267174	-0.019577967	-0.011267174	-0.011267174	-0.011267174	-0.011267174
Bath	-0.026021909	-0.006410256	-0.011174754	-0.015959705	-0.016638958	-0.020319054	-0.015959705	-0.014521147	-0.024557188	-0.012089756	-0.011174754	-0.004525489	-0.011174754	-0.012089756	-0.020882334	-0.004525489	-0.004525489	-0.009094668	0.403661751	-0.01855195	-0.009094668	-0.009094668	-0.007863541	-0.004525489	-0.009094668	-0.004525489	-0.004525489	-0.006410256	-0.007863541	-0.006410256	-0.004525489	-0.007863541	-0.007863541	-0.004525489	-0.006410256	-0.006410256	-0.004525489	-0.007863541	-0.004525489	-0.004525489	-0.004525489	-0.004525489
Hertford	-0.018370852	-0.004525489	0.404974394	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Canterbury	-0.045362995	-0.011174754	-0.019480519	-0.027821941	0.087761916	-0.035421427	-0.027821941	-0.025314157	-0.042809603	0.136489648	-0.019480519	-0.007889112	-0.019480519	-0.021075607	-0.036403371	-0.007889112	-0.007889112	-0.015854386	-0.013708208	0.073440798	-0.015854386	-0.015854386	-0.013708208	-0.007889112	-0.015854386	-0.007889112	-0.007889112	-0.011174754	-0.013708208	-0.011174754	-0.007889112	0.225423872	-0.013708208	-0.007889112	-0.011174754	-0.011174754	-0.007889112	-0.013708208	-0.007889112	-0.007889112	-0.007889112	-0.007889112
Bedford	-0.018370852	-0.004525489	-0.007889112	0.2835572	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
