Node	county	long	lat
0	Bedford	-0.461663	52.127648
1	Buckinghamshire	-0.808799	51.803902
2	Cambridgeshire	0.122205	52.211239
3	Central Bedfordshire	-0.497263	51.995977
4	Cheshire West and Chester	-2.870561	53.23832
5	County of Herefordshire	-2.734589	52.07563
6	Doncaster	-1.135789	53.525924
7	Dorset	-2.470109	50.607712
8	East Riding of Yorkshire	-0.481756	53.730044
9	East Sussex	0.305533	50.797108
10	Essex	0.586842	51.738603
11	Gloucestershire	-2.246268	51.839484
12	Greater London Authority	-0.087736	51.509516
13	Hampshire	-1.392023	50.974567
14	Hertfordshire	-0.319017	51.765429
15	Isle of Wight	-1.295649	50.704745
16	Kent	1.05851	51.311628
17	Leeds	-1.553257	53.796575
18	Leicestershire	-1.134879	52.645431
19	Lincolnshire	0.005948	53.203423
20	Medway	0.53236	51.395387
21	Milton Keynes	-0.739012	52.046397
22	Monmouthshire	-2.733324	51.803374
23	Norfolk	1.412427	52.632005
24	North Lincolnshire	-0.710665	53.594332
25	North Yorkshire	-1.401221	54.01436
26	Northamptonshire	-0.851353	52.257069
27	Nottinghamshire	-1.175226	52.94674
28	Oxfordshire	-1.252864	51.739583
29	Pembrokeshire	-4.93111	51.715863
30	Powys	-3.368612	52.287419
31	Shropshire	-2.777068	52.718479
32	Somerset	-2.620663	51.188044
33	Staffordshire	-2.108295	52.813297
34	Suffolk	1.118454	52.069549
35	Surrey	-0.540243	51.275259
36	Wakefield	-1.502071	53.679425
37	Warwickshire	-1.532475	52.340524
38	West Berkshire	-1.301745	51.405314
39	West Sussex	-0.428802	50.81828
40	Wiltshire	-1.835963	51.151444
41	Windsor and Maidenhead	-0.632746	51.481548
42	Worcestershire	-2.227765	52.199123
43	Wrexham	-3.001164	53.041985
44	York	-1.079855	53.953833
